"","gene_id","gene_type","gene_short_name","chr"
"ENSMUSG00000110730","ENSMUSG00000110730","lincRNA","RP23-242K3.2","chr9"
"ENSMUSG00000111094","ENSMUSG00000111094","lincRNA","RP24-499N24.4","chr9"
"ENSMUSG00000111445","ENSMUSG00000111445","lincRNA","RP24-499N24.5","chr9"
"ENSMUSG00000111528","ENSMUSG00000111528","lincRNA","RP24-499N24.6","chr9"
"ENSMUSG00000100146","ENSMUSG00000100146","lincRNA","1700020M21Rik","chr9"
"ENSMUSG00000006932","ENSMUSG00000006932","protein_coding","Ctnnb1","chr9"
"ENSMUSG00000040936","ENSMUSG00000040936","protein_coding","Ulk4","chr9"
"ENSMUSG00000032536","ENSMUSG00000032536","protein_coding","Trak1","chr9"
"ENSMUSG00000032532","ENSMUSG00000032532","protein_coding","Cck","chr9"
"ENSMUSG00000111598","ENSMUSG00000111598","lincRNA","RP23-241P13.4","chr9"
"ENSMUSG00000110814","ENSMUSG00000110814","lincRNA","RP23-241P13.5","chr9"
"ENSMUSG00000032530","ENSMUSG00000032530","protein_coding","Lyzl4","chr9"
"ENSMUSG00000032528","ENSMUSG00000032528","protein_coding","Vipr1","chr9"
"ENSMUSG00000061536","ENSMUSG00000061536","protein_coding","Sec22c","chr9"
"ENSMUSG00000032526","ENSMUSG00000032526","protein_coding","Deb1","chr9"
"ENSMUSG00000032525","ENSMUSG00000032525","protein_coding","Nktr","chr9"
"ENSMUSG00000013419","ENSMUSG00000013419","protein_coding","Zfp651","chr9"
"ENSMUSG00000074001","ENSMUSG00000074001","protein_coding","Klhl40","chr9"
"ENSMUSG00000032523","ENSMUSG00000032523","protein_coding","Hhatl","chr9"
"ENSMUSG00000079235","ENSMUSG00000079235","protein_coding","Ccdc13","chr9"
"ENSMUSG00000038412","ENSMUSG00000038412","protein_coding","Higd1a","chr9"
"ENSMUSG00000111465","ENSMUSG00000111465","lincRNA","RP24-93F20.9","chr9"
"ENSMUSG00000044534","ENSMUSG00000044534","protein_coding","Ackr2","chr9"
"ENSMUSG00000050445","ENSMUSG00000050445","protein_coding","Cyp8b1","chr9"
"ENSMUSG00000043773","ENSMUSG00000043773","lincRNA","1700048O20Rik","chr9"
"ENSMUSG00000038233","ENSMUSG00000038233","protein_coding","Fam198a","chr9"
"ENSMUSG00000066235","ENSMUSG00000066235","protein_coding","Pomgnt2","chr9"
"ENSMUSG00000110729","ENSMUSG00000110729","lincRNA","RP23-366E4.9","chr9"
"ENSMUSG00000111389","ENSMUSG00000111389","lincRNA","RP23-366E4.10","chr9"
"ENSMUSG00000111785","ENSMUSG00000111785","lincRNA","RP24-325N9.2","chr9"
"ENSMUSG00000038145","ENSMUSG00000038145","protein_coding","Snrk","chr9"
"ENSMUSG00000037949","ENSMUSG00000037949","protein_coding","Ano10","chr9"
"ENSMUSG00000097572","ENSMUSG00000097572","lincRNA","Gm26797","chr9"
"ENSMUSG00000032540","ENSMUSG00000032540","protein_coding","Abhd5","chr9"
"ENSMUSG00000111192","ENSMUSG00000111192","lincRNA","RP23-12I4.4","chr9"
"ENSMUSG00000111146","ENSMUSG00000111146","lincRNA","RP23-12I4.3","chr9"
"ENSMUSG00000110984","ENSMUSG00000110984","lincRNA","RP23-12I4.6","chr9"
"ENSMUSG00000111221","ENSMUSG00000111221","lincRNA","RP24-198N9.1","chr9"
"ENSMUSG00000097736","ENSMUSG00000097736","lincRNA","9530059O14Rik","chr9"
"ENSMUSG00000111143","ENSMUSG00000111143","lincRNA","RP23-361B11.1","chr9"
"ENSMUSG00000111068","ENSMUSG00000111068","lincRNA","RP23-92N3.1","chr9"
"ENSMUSG00000111577","ENSMUSG00000111577","lincRNA","RP23-92N3.2","chr9"
"ENSMUSG00000094985","ENSMUSG00000094985","protein_coding","Topaz1","chr9"
"ENSMUSG00000046603","ENSMUSG00000046603","protein_coding","Tcaim","chr9"
"ENSMUSG00000107504","ENSMUSG00000107504","protein_coding","Gm35549","chr9"
"ENSMUSG00000047036","ENSMUSG00000047036","protein_coding","Zfp445","chr9"
"ENSMUSG00000097322","ENSMUSG00000097322","lincRNA","A530083I20Rik","chr9"
"ENSMUSG00000063488","ENSMUSG00000063488","protein_coding","Zkscan7","chr9"
"ENSMUSG00000057895","ENSMUSG00000057895","protein_coding","Zfp105","chr9"
"ENSMUSG00000032551","ENSMUSG00000032551","protein_coding","1110059G10Rik","chr9"
"ENSMUSG00000036768","ENSMUSG00000036768","protein_coding","Kif15","chr9"
"ENSMUSG00000066233","ENSMUSG00000066233","protein_coding","Tmem42","chr9"
"ENSMUSG00000025787","ENSMUSG00000025787","protein_coding","Tgm4","chr9"
"ENSMUSG00000025786","ENSMUSG00000025786","protein_coding","Zdhhc3","chr9"
"ENSMUSG00000025785","ENSMUSG00000025785","protein_coding","Exosc7","chr9"
"ENSMUSG00000025784","ENSMUSG00000025784","protein_coding","Clec3b","chr9"
"ENSMUSG00000035498","ENSMUSG00000035498","protein_coding","Cdcp1","chr9"
"ENSMUSG00000054871","ENSMUSG00000054871","protein_coding","Tmem158","chr9"
"ENSMUSG00000111371","ENSMUSG00000111371","lincRNA","RP24-390M17.1","chr9"
"ENSMUSG00000035202","ENSMUSG00000035202","protein_coding","Lars2","chr9"
"ENSMUSG00000025239","ENSMUSG00000025239","protein_coding","Limd1","chr9"
"ENSMUSG00000025240","ENSMUSG00000025240","protein_coding","Sacm1l","chr9"
"ENSMUSG00000025243","ENSMUSG00000025243","protein_coding","Slc6a20b","chr9"
"ENSMUSG00000036814","ENSMUSG00000036814","protein_coding","Slc6a20a","chr9"
"ENSMUSG00000090608","ENSMUSG00000090608","lincRNA","Gm17200","chr9"
"ENSMUSG00000029530","ENSMUSG00000029530","protein_coding","Ccr9","chr9"
"ENSMUSG00000025245","ENSMUSG00000025245","protein_coding","Lztfl1","chr9"
"ENSMUSG00000025241","ENSMUSG00000025241","protein_coding","Fyco1","chr9"
"ENSMUSG00000048521","ENSMUSG00000048521","protein_coding","Cxcr6","chr9"
"ENSMUSG00000060509","ENSMUSG00000060509","protein_coding","Xcr1","chr9"
"ENSMUSG00000025804","ENSMUSG00000025804","protein_coding","Ccr1","chr9"
"ENSMUSG00000064039","ENSMUSG00000064039","protein_coding","Ccr1l1","chr9"
"ENSMUSG00000035448","ENSMUSG00000035448","protein_coding","Ccr3","chr9"
"ENSMUSG00000049103","ENSMUSG00000049103","protein_coding","Ccr2","chr9"
"ENSMUSG00000079227","ENSMUSG00000079227","protein_coding","Ccr5","chr9"
"ENSMUSG00000110834","ENSMUSG00000110834","lincRNA","CAAA01180111.2","chr9"
"ENSMUSG00000074829","ENSMUSG00000074829","protein_coding","2010315B03Rik","chr9"
"ENSMUSG00000111733","ENSMUSG00000111733","lincRNA","CAAA01216754.1","chr9"
"ENSMUSG00000093803","ENSMUSG00000093803","protein_coding","Ppp2r3d","chr9"
"ENSMUSG00000096734","ENSMUSG00000096734","protein_coding","Gm21836","chr9"
"ENSMUSG00000071434","ENSMUSG00000071434","lincRNA","9230019H11Rik","chr10"
"ENSMUSG00000110909","ENSMUSG00000110909","lincRNA","CH25-395E5.1","chr10"
"ENSMUSG00000091618","ENSMUSG00000091618","protein_coding","H60c","chr10"
"ENSMUSG00000097541","ENSMUSG00000097541","lincRNA","Gm26752","chr10"
"ENSMUSG00000040653","ENSMUSG00000040653","protein_coding","Ppp1r14c","chr10"
"ENSMUSG00000019762","ENSMUSG00000019762","protein_coding","Iyd","chr10"
"ENSMUSG00000040624","ENSMUSG00000040624","protein_coding","Plekhg1","chr10"
"ENSMUSG00000040675","ENSMUSG00000040675","protein_coding","Mthfd1l","chr10"
"ENSMUSG00000111266","ENSMUSG00000111266","lincRNA","RP23-257K20.1","chr10"
"ENSMUSG00000038587","ENSMUSG00000038587","protein_coding","Akap12","chr10"
"ENSMUSG00000075327","ENSMUSG00000075327","protein_coding","Zbtb2","chr10"
"ENSMUSG00000095123","ENSMUSG00000095123","lincRNA","Gm21781","chr10"
"ENSMUSG00000019763","ENSMUSG00000019763","protein_coding","Rmnd1","chr10"
"ENSMUSG00000061759","ENSMUSG00000061759","protein_coding","Armt1","chr10"
"ENSMUSG00000019767","ENSMUSG00000019767","protein_coding","Ccdc170","chr10"
"ENSMUSG00000019768","ENSMUSG00000019768","protein_coding","Esr1","chr10"
"ENSMUSG00000096054","ENSMUSG00000096054","protein_coding","Syne1","chr10"
"ENSMUSG00000096553","ENSMUSG00000096553","protein_coding","Gm10097","chr10"
"ENSMUSG00000046916","ENSMUSG00000046916","protein_coding","Myct1","chr10"
"ENSMUSG00000019772","ENSMUSG00000019772","protein_coding","Vip","chr10"
"ENSMUSG00000019773","ENSMUSG00000019773","protein_coding","Fbxo5","chr10"
"ENSMUSG00000019774","ENSMUSG00000019774","protein_coding","Mtrf1l","chr10"
"ENSMUSG00000019775","ENSMUSG00000019775","protein_coding","Rgs17","chr10"
"ENSMUSG00000078488","ENSMUSG00000078488","protein_coding","Gm10945","chr10"
"ENSMUSG00000000766","ENSMUSG00000000766","protein_coding","Oprm1","chr10"
"ENSMUSG00000064065","ENSMUSG00000064065","protein_coding","Ipcef1","chr10"
"ENSMUSG00000015202","ENSMUSG00000015202","protein_coding","Cnksr3","chr10"
"ENSMUSG00000079685","ENSMUSG00000079685","protein_coding","Ulbp1","chr10"
"ENSMUSG00000019796","ENSMUSG00000019796","protein_coding","Lrp11","chr10"
"ENSMUSG00000019795","ENSMUSG00000019795","protein_coding","Pcmt1","chr10"
"ENSMUSG00000040034","ENSMUSG00000040034","protein_coding","Nup43","chr10"
"ENSMUSG00000040021","ENSMUSG00000040021","protein_coding","Lats1","chr10"
"ENSMUSG00000019794","ENSMUSG00000019794","protein_coding","Katna1","chr10"
"ENSMUSG00000040006","ENSMUSG00000040006","protein_coding","Ginm1","chr10"
"ENSMUSG00000015757","ENSMUSG00000015757","protein_coding","Ppil4","chr10"
"ENSMUSG00000039981","ENSMUSG00000039981","protein_coding","Zc3h12d","chr10"
"ENSMUSG00000015755","ENSMUSG00000015755","protein_coding","Tab2","chr10"
"ENSMUSG00000047712","ENSMUSG00000047712","protein_coding","Ust","chr10"
"ENSMUSG00000111215","ENSMUSG00000111215","lincRNA","RP23-199G2.2","chr10"
"ENSMUSG00000015305","ENSMUSG00000015305","protein_coding","Sash1","chr10"
"ENSMUSG00000111731","ENSMUSG00000111731","lincRNA","RP23-225D5.4","chr10"
"ENSMUSG00000111674","ENSMUSG00000111674","lincRNA","RP23-5H4.1","chr10"
"ENSMUSG00000111627","ENSMUSG00000111627","lincRNA","RP24-226H19.1","chr10"
"ENSMUSG00000101926","ENSMUSG00000101926","lincRNA","Gm28904","chr10"
"ENSMUSG00000053980","ENSMUSG00000053980","protein_coding","Gm9930","chr10"
"ENSMUSG00000060487","ENSMUSG00000060487","protein_coding","Samd5","chr10"
"ENSMUSG00000019790","ENSMUSG00000019790","protein_coding","Stxbp5","chr10"
"ENSMUSG00000101621","ENSMUSG00000101621","lincRNA","Gm28905","chr10"
"ENSMUSG00000050994","ENSMUSG00000050994","protein_coding","Adgb","chr10"
"ENSMUSG00000019832","ENSMUSG00000019832","protein_coding","Rab32","chr10"
"ENSMUSG00000078481","ENSMUSG00000078481","protein_coding","Gm10944","chr10"
"ENSMUSG00000019828","ENSMUSG00000019828","protein_coding","Grm1","chr10"
"ENSMUSG00000090112","ENSMUSG00000090112","protein_coding","Shprh","chr10"
"ENSMUSG00000097007","ENSMUSG00000097007","lincRNA","4930432B10Rik","chr10"
"ENSMUSG00000047648","ENSMUSG00000047648","protein_coding","Fbxo30","chr10"
"ENSMUSG00000055493","ENSMUSG00000055493","protein_coding","Epm2a","chr10"
"ENSMUSG00000045455","ENSMUSG00000045455","protein_coding","Gm9797","chr10"
"ENSMUSG00000019820","ENSMUSG00000019820","protein_coding","Utrn","chr10"
"ENSMUSG00000097378","ENSMUSG00000097378","lincRNA","B230208H11Rik","chr10"
"ENSMUSG00000039232","ENSMUSG00000039232","protein_coding","Stx11","chr10"
"ENSMUSG00000078348","ENSMUSG00000078348","protein_coding","Sf3b5","chr10"
"ENSMUSG00000019817","ENSMUSG00000019817","protein_coding","Plagl1","chr10"
"ENSMUSG00000019815","ENSMUSG00000019815","protein_coding","Zc2hc1b","chr10"
"ENSMUSG00000019814","ENSMUSG00000019814","protein_coding","Ltv1","chr10"
"ENSMUSG00000062866","ENSMUSG00000062866","protein_coding","Phactr2","chr10"
"ENSMUSG00000019810","ENSMUSG00000019810","protein_coding","Fuca2","chr10"
"ENSMUSG00000019809","ENSMUSG00000019809","protein_coding","Pex3","chr10"
"ENSMUSG00000019808","ENSMUSG00000019808","protein_coding","Adat2","chr10"
"ENSMUSG00000019806","ENSMUSG00000019806","protein_coding","Aig1","chr10"
"ENSMUSG00000015501","ENSMUSG00000015501","protein_coding","Hivep2","chr10"
"ENSMUSG00000097300","ENSMUSG00000097300","lincRNA","Gm26835","chr10"
"ENSMUSG00000039116","ENSMUSG00000039116","protein_coding","Adgrg6","chr10"
"ENSMUSG00000019868","ENSMUSG00000019868","protein_coding","Vta1","chr10"
"ENSMUSG00000019865","ENSMUSG00000019865","protein_coding","Nmbr","chr10"
"ENSMUSG00000019867","ENSMUSG00000019867","protein_coding","Gje1","chr10"
"ENSMUSG00000039910","ENSMUSG00000039910","protein_coding","Cited2","chr10"
"ENSMUSG00000039891","ENSMUSG00000039891","protein_coding","Txlnb","chr10"
"ENSMUSG00000039879","ENSMUSG00000039879","protein_coding","Heca","chr10"
"ENSMUSG00000078453","ENSMUSG00000078453","protein_coding","Abracl","chr10"
"ENSMUSG00000091367","ENSMUSG00000091367","pseudogene","Gm17711","chr10"
"ENSMUSG00000019854","ENSMUSG00000019854","protein_coding","Reps1","chr10"
"ENSMUSG00000071392","ENSMUSG00000071392","protein_coding","Ect2l","chr10"
"ENSMUSG00000059554","ENSMUSG00000059554","protein_coding","Ccdc28a","chr10"
"ENSMUSG00000096977","ENSMUSG00000096977","lincRNA","Gm10827","chr10"
"ENSMUSG00000039835","ENSMUSG00000039835","protein_coding","Nhsl1","chr10"
"ENSMUSG00000019853","ENSMUSG00000019853","protein_coding","Hebp2","chr10"
"ENSMUSG00000019852","ENSMUSG00000019852","protein_coding","Arfgef3","chr10"
"ENSMUSG00000044624","ENSMUSG00000044624","protein_coding","Gm4922","chr10"
"ENSMUSG00000110737","ENSMUSG00000110737","lincRNA","RP23-440F7.2","chr10"
"ENSMUSG00000019851","ENSMUSG00000019851","protein_coding","Perp","chr10"
"ENSMUSG00000111318","ENSMUSG00000111318","lincRNA","RP23-440F7.5","chr10"
"ENSMUSG00000019850","ENSMUSG00000019850","protein_coding","Tnfaip3","chr10"
"ENSMUSG00000110938","ENSMUSG00000110938","lincRNA","RP23-292G1.1","chr10"
"ENSMUSG00000111821","ENSMUSG00000111821","lincRNA","RP23-292G1.2","chr10"
"ENSMUSG00000111052","ENSMUSG00000111052","lincRNA","RP23-292G1.5","chr10"
"ENSMUSG00000110917","ENSMUSG00000110917","lincRNA","RP23-35O24.3","chr10"
"ENSMUSG00000045591","ENSMUSG00000045591","protein_coding","Olig3","chr10"
"ENSMUSG00000110902","ENSMUSG00000110902","lincRNA","RP23-353K11.3","chr10"
"ENSMUSG00000020009","ENSMUSG00000020009","protein_coding","Ifngr1","chr10"
"ENSMUSG00000039760","ENSMUSG00000039760","protein_coding","Il22ra2","chr10"
"ENSMUSG00000042940","ENSMUSG00000042940","lincRNA","9230106D20Rik","chr10"
"ENSMUSG00000020007","ENSMUSG00000020007","protein_coding","Il20ra","chr10"
"ENSMUSG00000050473","ENSMUSG00000050473","protein_coding","Slc35d3","chr10"
"ENSMUSG00000020003","ENSMUSG00000020003","protein_coding","Pex7","chr10"
"ENSMUSG00000071369","ENSMUSG00000071369","protein_coding","Map3k5","chr10"
"ENSMUSG00000019996","ENSMUSG00000019996","protein_coding","Map7","chr10"
"ENSMUSG00000069713","ENSMUSG00000069713","lincRNA","4933406P04Rik","chr10"
"ENSMUSG00000037608","ENSMUSG00000037608","protein_coding","Bclaf1","chr10"
"ENSMUSG00000019992","ENSMUSG00000019992","protein_coding","Mtfr2","chr10"
"ENSMUSG00000019990","ENSMUSG00000019990","protein_coding","Pde7b","chr10"
"ENSMUSG00000111091","ENSMUSG00000111091","lincRNA","RP23-119E2.1","chr10"
"ENSMUSG00000019986","ENSMUSG00000019986","protein_coding","Ahi1","chr10"
"ENSMUSG00000111102","ENSMUSG00000111102","lincRNA","RP23-395M5.5","chr10"
"ENSMUSG00000019982","ENSMUSG00000019982","protein_coding","Myb","chr10"
"ENSMUSG00000110967","ENSMUSG00000110967","lincRNA","RP23-395M5.7","chr10"
"ENSMUSG00000111005","ENSMUSG00000111005","lincRNA","RP23-395M5.6","chr10"
"ENSMUSG00000111200","ENSMUSG00000111200","lincRNA","RP23-395M5.8","chr10"
"ENSMUSG00000019977","ENSMUSG00000019977","protein_coding","Hbs1l","chr10"
"ENSMUSG00000037542","ENSMUSG00000037542","protein_coding","Aldh8a1","chr10"
"ENSMUSG00000037535","ENSMUSG00000037535","lincRNA","1700021A07Rik","chr10"
"ENSMUSG00000050844","ENSMUSG00000050844","protein_coding","1700020N01Rik","chr10"
"ENSMUSG00000056716","ENSMUSG00000056716","lincRNA","Gm5420","chr10"
"ENSMUSG00000099749","ENSMUSG00000099749","lincRNA","Gm29323","chr10"
"ENSMUSG00000097107","ENSMUSG00000097107","lincRNA","Platr6","chr10"
"ENSMUSG00000019970","ENSMUSG00000019970","protein_coding","Sgk1","chr10"
"ENSMUSG00000069712","ENSMUSG00000069712","protein_coding","4930444G20Rik","chr10"
"ENSMUSG00000097327","ENSMUSG00000097327","protein_coding","E030030I06Rik","chr10"
"ENSMUSG00000053219","ENSMUSG00000053219","protein_coding","Raet1e","chr10"
"ENSMUSG00000075297","ENSMUSG00000075297","protein_coding","H60b","chr10"
"ENSMUSG00000097108","ENSMUSG00000097108","lincRNA","Gm26581","chr10"
"ENSMUSG00000078452","ENSMUSG00000078452","protein_coding","Raet1d","chr10"
"ENSMUSG00000096937","ENSMUSG00000096937","lincRNA","Gm10825","chr10"
"ENSMUSG00000037490","ENSMUSG00000037490","protein_coding","Slc2a12","chr10"
"ENSMUSG00000071359","ENSMUSG00000071359","protein_coding","Tbpl1","chr10"
"ENSMUSG00000045680","ENSMUSG00000045680","protein_coding","Tcf21","chr10"
"ENSMUSG00000010461","ENSMUSG00000010461","protein_coding","Eya4","chr10"
"ENSMUSG00000061983","ENSMUSG00000061983","protein_coding","Rps12","chr10"
"ENSMUSG00000037455","ENSMUSG00000037455","protein_coding","Slc18b1","chr10"
"ENSMUSG00000020010","ENSMUSG00000020010","protein_coding","Vnn3","chr10"
"ENSMUSG00000037440","ENSMUSG00000037440","protein_coding","Vnn1","chr10"
"ENSMUSG00000056379","ENSMUSG00000056379","protein_coding","Taar1","chr10"
"ENSMUSG00000059763","ENSMUSG00000059763","protein_coding","Taar2","chr10"
"ENSMUSG00000069708","ENSMUSG00000069708","protein_coding","Taar3","chr10"
"ENSMUSG00000069707","ENSMUSG00000069707","protein_coding","Taar4","chr10"
"ENSMUSG00000069706","ENSMUSG00000069706","protein_coding","Taar5","chr10"
"ENSMUSG00000045111","ENSMUSG00000045111","protein_coding","Taar6","chr10"
"ENSMUSG00000095647","ENSMUSG00000095647","protein_coding","Taar7a","chr10"
"ENSMUSG00000095171","ENSMUSG00000095171","protein_coding","Taar7b","chr10"
"ENSMUSG00000095569","ENSMUSG00000095569","protein_coding","Taar7d","chr10"
"ENSMUSG00000100689","ENSMUSG00000100689","protein_coding","Taar7e","chr10"
"ENSMUSG00000100950","ENSMUSG00000100950","protein_coding","Taar7f","chr10"
"ENSMUSG00000096442","ENSMUSG00000096442","protein_coding","Taar8a","chr10"
"ENSMUSG00000100186","ENSMUSG00000100186","protein_coding","Taar8b","chr10"
"ENSMUSG00000100004","ENSMUSG00000100004","protein_coding","Taar8c","chr10"
"ENSMUSG00000037424","ENSMUSG00000037424","protein_coding","Taar9","chr10"
"ENSMUSG00000085451","ENSMUSG00000085451","lincRNA","Gm15137","chr10"
"ENSMUSG00000019998","ENSMUSG00000019998","protein_coding","Stx7","chr10"
"ENSMUSG00000020000","ENSMUSG00000020000","protein_coding","Moxd1","chr10"
"ENSMUSG00000086148","ENSMUSG00000086148","lincRNA","Gm15271","chr10"
"ENSMUSG00000019997","ENSMUSG00000019997","protein_coding","Ctgf","chr10"
"ENSMUSG00000037370","ENSMUSG00000037370","protein_coding","Enpp1","chr10"
"ENSMUSG00000019989","ENSMUSG00000019989","protein_coding","Enpp3","chr10"
"ENSMUSG00000019984","ENSMUSG00000019984","protein_coding","Med23","chr10"
"ENSMUSG00000019987","ENSMUSG00000019987","protein_coding","Arg1","chr10"
"ENSMUSG00000039166","ENSMUSG00000039166","protein_coding","Akap7","chr10"
"ENSMUSG00000019978","ENSMUSG00000019978","protein_coding","Epb41l2","chr10"
"ENSMUSG00000096546","ENSMUSG00000096546","protein_coding","Smlr1","chr10"
"ENSMUSG00000049420","ENSMUSG00000049420","protein_coding","Tmem200a","chr10"
"ENSMUSG00000039098","ENSMUSG00000039098","protein_coding","Gm9767","chr10"
"ENSMUSG00000051354","ENSMUSG00000051354","protein_coding","Samd3","chr10"
"ENSMUSG00000039089","ENSMUSG00000039089","protein_coding","L3mbtl3","chr10"
"ENSMUSG00000039031","ENSMUSG00000039031","protein_coding","Arhgap18","chr10"
"ENSMUSG00000019899","ENSMUSG00000019899","protein_coding","Lama2","chr10"
"ENSMUSG00000019889","ENSMUSG00000019889","protein_coding","Ptprk","chr10"
"ENSMUSG00000049109","ENSMUSG00000049109","protein_coding","Themis","chr10"
"ENSMUSG00000015519","ENSMUSG00000015519","protein_coding","2310057J18Rik","chr10"
"ENSMUSG00000038916","ENSMUSG00000038916","protein_coding","Soga3","chr10"
"ENSMUSG00000004360","ENSMUSG00000004360","protein_coding","9330159F19Rik","chr10"
"ENSMUSG00000019883","ENSMUSG00000019883","protein_coding","Echdc1","chr10"
"ENSMUSG00000038876","ENSMUSG00000038876","protein_coding","Rnf146","chr10"
"ENSMUSG00000111646","ENSMUSG00000111646","lincRNA","RP23-331E5.11","chr10"
"ENSMUSG00000019880","ENSMUSG00000019880","protein_coding","Rspo3","chr10"
"ENSMUSG00000111195","ENSMUSG00000111195","lincRNA","RP23-55G19.2","chr10"
"ENSMUSG00000075266","ENSMUSG00000075266","protein_coding","Cenpw","chr10"
"ENSMUSG00000019792","ENSMUSG00000019792","protein_coding","Trmt11","chr10"
"ENSMUSG00000111080","ENSMUSG00000111080","lincRNA","RP23-128C4.4","chr10"
"ENSMUSG00000019791","ENSMUSG00000019791","protein_coding","Hint3","chr10"
"ENSMUSG00000039697","ENSMUSG00000039697","protein_coding","Ncoa7","chr10"
"ENSMUSG00000019789","ENSMUSG00000019789","protein_coding","Hey2","chr10"
"ENSMUSG00000111778","ENSMUSG00000111778","lincRNA","RP23-299I16.1","chr10"
"ENSMUSG00000000295","ENSMUSG00000000295","protein_coding","Hddc2","chr10"
"ENSMUSG00000000296","ENSMUSG00000000296","protein_coding","Tpd52l1","chr10"
"ENSMUSG00000063760","ENSMUSG00000063760","protein_coding","Rnf217","chr10"
"ENSMUSG00000069670","ENSMUSG00000069670","protein_coding","Nkain2","chr10"
"ENSMUSG00000019787","ENSMUSG00000019787","protein_coding","Trdn","chr10"
"ENSMUSG00000019785","ENSMUSG00000019785","protein_coding","Clvs2","chr10"
"ENSMUSG00000090298","ENSMUSG00000090298","protein_coding","Sult3a2","chr10"
"ENSMUSG00000069668","ENSMUSG00000069668","protein_coding","Sult3a1","chr10"
"ENSMUSG00000039552","ENSMUSG00000039552","protein_coding","Rsph4a","chr10"
"ENSMUSG00000039531","ENSMUSG00000039531","protein_coding","Zufsp","chr10"
"ENSMUSG00000090666","ENSMUSG00000090666","protein_coding","Gm17567","chr10"
"ENSMUSG00000019782","ENSMUSG00000019782","protein_coding","Rwdd1","chr10"
"ENSMUSG00000071340","ENSMUSG00000071340","protein_coding","Trappc3l","chr10"
"ENSMUSG00000039508","ENSMUSG00000039508","protein_coding","Fam26d","chr10"
"ENSMUSG00000049872","ENSMUSG00000049872","protein_coding","Fam26e","chr10"
"ENSMUSG00000046031","ENSMUSG00000046031","protein_coding","Fam26f","chr10"
"ENSMUSG00000039497","ENSMUSG00000039497","protein_coding","Dse","chr10"
"ENSMUSG00000111149","ENSMUSG00000111149","lincRNA","RP23-255F14.8","chr10"
"ENSMUSG00000047514","ENSMUSG00000047514","protein_coding","Tspyl1","chr10"
"ENSMUSG00000039480","ENSMUSG00000039480","protein_coding","Nt5dc1","chr10"
"ENSMUSG00000039485","ENSMUSG00000039485","protein_coding","Tspyl4","chr10"
"ENSMUSG00000039462","ENSMUSG00000039462","protein_coding","Col10a1","chr10"
"ENSMUSG00000019779","ENSMUSG00000019779","protein_coding","Frk","chr10"
"ENSMUSG00000111753","ENSMUSG00000111753","lincRNA","RP24-74P1.1","chr10"
"ENSMUSG00000063953","ENSMUSG00000063953","protein_coding","Amd2","chr10"
"ENSMUSG00000111550","ENSMUSG00000111550","lincRNA","RP23-359F16.1","chr10"
"ENSMUSG00000110731","ENSMUSG00000110731","lincRNA","RP24-198J23.1","chr10"
"ENSMUSG00000044499","ENSMUSG00000044499","protein_coding","Hs3st5","chr10"
"ENSMUSG00000019777","ENSMUSG00000019777","protein_coding","Hdac2","chr10"
"ENSMUSG00000069662","ENSMUSG00000069662","protein_coding","Marcks","chr10"
"ENSMUSG00000110799","ENSMUSG00000110799","lincRNA","RP24-477I13.1","chr10"
"ENSMUSG00000097742","ENSMUSG00000097742","lincRNA","Gm26535","chr10"
"ENSMUSG00000111488","ENSMUSG00000111488","lincRNA","RP23-80P5.1","chr10"
"ENSMUSG00000111234","ENSMUSG00000111234","lincRNA","RP23-80P5.2","chr10"
"ENSMUSG00000111208","ENSMUSG00000111208","lincRNA","RP24-315I19.1","chr10"
"ENSMUSG00000094311","ENSMUSG00000094311","protein_coding","Rfpl4b","chr10"
"ENSMUSG00000019846","ENSMUSG00000019846","protein_coding","Lama4","chr10"
"ENSMUSG00000051736","ENSMUSG00000051736","protein_coding","Fam229b","chr10"
"ENSMUSG00000019845","ENSMUSG00000019845","protein_coding","Tube1","chr10"
"ENSMUSG00000062074","ENSMUSG00000062074","protein_coding","Wisp3","chr10"
"ENSMUSG00000111055","ENSMUSG00000111055","lincRNA","RP24-541B4.5","chr10"
"ENSMUSG00000111008","ENSMUSG00000111008","lincRNA","RP24-389J11.2","chr10"
"ENSMUSG00000111183","ENSMUSG00000111183","lincRNA","RP23-283A2.1","chr10"
"ENSMUSG00000019843","ENSMUSG00000019843","protein_coding","Fyn","chr10"
"ENSMUSG00000019842","ENSMUSG00000019842","protein_coding","Traf3ip2","chr10"
"ENSMUSG00000019841","ENSMUSG00000019841","protein_coding","Rev3l","chr10"
"ENSMUSG00000096924","ENSMUSG00000096924","lincRNA","Gm26824","chr10"
"ENSMUSG00000096687","ENSMUSG00000096687","protein_coding","Mfsd4b4","chr10"
"ENSMUSG00000039339","ENSMUSG00000039339","protein_coding","Mfsd4b2","chr10"
"ENSMUSG00000071335","ENSMUSG00000071335","protein_coding","Mfsd4b3","chr10"
"ENSMUSG00000038528","ENSMUSG00000038528","protein_coding","Mfsd4b5","chr10"
"ENSMUSG00000038522","ENSMUSG00000038522","protein_coding","Mfsd4b1","chr10"
"ENSMUSG00000019838","ENSMUSG00000019838","protein_coding","Slc16a10","chr10"
"ENSMUSG00000110781","ENSMUSG00000110781","lincRNA","RP23-8O18.1","chr10"
"ENSMUSG00000111045","ENSMUSG00000111045","lincRNA","RP24-366E11.4","chr10"
